,Company,TypeName,Inches,ScreenResolution,Resolution,Cpu,Gpu,GHz,RamGB,MemoryGB,Extra GB,Disk,OpSys,Price,
0,Apple,Ultrabook,13.3,2560,1600,Intel Core i5  ,Intel Iris Plus Graphics 640,2.3,8,128,,SSD,macOS,856,624
1,Apple,Ultrabook,13.3,1440,900,Intel Core i5  ,Intel HD Graphics 6000,1.8,8,128,,Flash,macOS,574,
2,HP,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,No OS,367,
3,Apple,Ultrabook,15.4,2880,1800,Intel Core i7  ,AMD Radeon Pro 455,2.7,16,512,,SSD,macOS,1622,
4,Apple,Ultrabook,13.3,2560,1600,Intel Core i5  ,Intel Iris Plus Graphics 650,3.1,8,256,,SSD,macOS,1153,
5,Acer,Notebook,15.6,1366,768,AMD A9-Series 9420  ,AMD Radeon R5,3,4,500,,HDD,Windows 10,255,
6,Apple,Ultrabook,15.4,2880,1800,Intel Core i7  ,Intel Iris Pro Graphics,2.2,16,256,,Flash,Mac OS X,1368,
7,Apple,Ultrabook,13.3,1440,900,Intel Core i5  ,Intel HD Graphics 6000,1.8,8,256,,Flash,macOS,740,
8,Asus,Ultrabook,14,1920,1080,Intel Core i7 8550U ,Nvidia GeForce MX150,1.8,16,512,,SSD,Windows 10,955,
9,Acer,Ultrabook,14,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,492,
10,HP,Notebook,15.6,1366,768,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,4,500,,HDD,No OS,251,
11,HP,Notebook,15.6,1920,1080,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,500,,HDD,No OS,220,
12,Apple,Ultrabook,15.4,2880,1800,Intel Core i7  ,AMD Radeon Pro 555,2.8,16,256,,SSD,macOS,1560,
13,Dell,Notebook,15.6,1920,1080,Intel Core i3 6006U ,AMD Radeon R5 M430,2,4,256,,SSD,Windows 10,318,
14,Apple,Ultrabook,12,2304,1440,Intel Core M m3 ,Intel HD Graphics 615,1.2,8,256,,SSD,macOS,807,
15,Apple,Ultrabook,13.3,2560,1600,Intel Core i5  ,Intel Iris Plus Graphics 640,2.3,8,256,,SSD,macOS,970,
16,Dell,Notebook,15.6,1920,1080,Intel Core i7 7500U ,AMD Radeon R5 M430,2.7,8,256,,SSD,Windows 10,476,
17,Apple,Ultrabook,15.4,2880,1800,Intel Core i7  ,AMD Radeon Pro 560,2.9,16,512,,SSD,macOS,1827,
18,Lenovo,Notebook,15.6,1920,1080,Intel Core i3 7100U ,Nvidia GeForce 940MX,2.4,8,1024,,HDD,No OS,319,
19,Dell,Ultrabook,13.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,128,,SSD,Windows 10,625,
20,Asus,Netbook,11.6,1366,768,Intel Atom x5-Z8350  ,Intel HD Graphics 400,1.44,2,32,,Flash,Windows 10,122,
21,Lenovo,Gaming,15.6,1920,1080,Intel Core i5 7300HQ ,Nvidia GeForce GTX 1050,2.5,8,128,1024,SSD,Windows 10,638,
22,HP,Notebook,15.6,1366,768,AMD E-Series E2-9000e  ,AMD Radeon R2,1.5,4,500,,HDD,No OS,164,
23,Dell,2 in 1 Convertible,13.3,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,523,
24,HP,Ultrabook,15.6,1920,1080,Intel Core i7 8550U ,Intel HD Graphics 620,1.8,8,256,,SSD,Windows 10,421,
25,Dell,Notebook,15.6,1366,768,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,1024,,HDD,Windows 10,267,
26,Apple,Ultrabook,13.3,1440,900,Intel Core i5  ,Intel HD Graphics 6000,1.6,8,128,,Flash,Mac OS X,702,
27,Dell,Notebook,15.6,1920,1080,Intel Core i5 8250U ,AMD Radeon 530,1.6,8,256,,SSD,Windows 10,511,
28,Dell,Ultrabook,15.6,1920,1080,Intel Core i7 8650U ,Intel UHD Graphics 620,1.9,8,256,256,SSD,Windows 10,829,
29,HP,Notebook,17.3,1920,1080,Intel Core i5 8250U ,Nvidia GeForce 930MX,1.6,8,1024,,HDD,Windows 10,572,
30,Chuwi,Notebook,15.6,1920,1080,Intel Atom x5-Z8300  ,Intel HD Graphics,1.44,4,64,,Flash,Windows 10,156,
31,Asus,Notebook,14,1366,768,AMD E-Series E2-6110  ,AMD Radeon R2,1.5,2,32,,Flash,Windows 10,127,
32,HP,Notebook,17.3,1920,1080,AMD A6-Series 9220  ,AMD Radeon 530,2.5,4,500,,HDD,Windows 10,280,
33,Dell,Ultrabook,13.3,3200,1800,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,16,512,,SSD,Windows 10,1194,
34,Apple,Ultrabook,13.3,1440,900,Intel Core i5  ,Intel HD Graphics 6000,1.6,8,256,,Flash,Mac OS X,638,
35,Lenovo,Notebook,14,1366,768,Intel Celeron Dual Core N3350,Intel HD Graphics 500,1.1,4,64,,Flash,Windows 10,159,
36,Acer,Notebook,15.6,1366,768,Intel Core i3 7130U ,Intel HD Graphics 620,2.7,4,1024,,HDD,Linux,234,
37,Dell,Notebook,17.3,1920,1080,Intel Core i5 8250U ,AMD Radeon 530,1.6,8,128,1024,SSD,Windows 10,625,
38,HP,Notebook,15.6,1366,768,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,4,1024,,HDD,Windows 10,312,
39,HP,Notebook,15.6,1920,1080,Intel Core i5 8250U ,Nvidia GeForce 930MX ,1.6,8,256,,SSD,Windows 10,561,
40,Asus,Notebook,15.6,1920,1080,Intel Core i3 6006U ,Intel HD Graphics 620,2,4,1024,,HDD,Linux,248,
41,Dell,Gaming,15.6,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1060,2.8,16,256,1024,SSD,Windows 10,958,
42,Asus,Notebook,15.6,1366,768,Intel Core i5 7200U ,Nvidia GeForce 940MX,2.5,8,1024,,HDD,Linux,334,
43,Acer,Notebook,15.6,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,4,256,,SSD,Windows 10,436,
44,Dell,2 in 1 Convertible,17.3,1920,1080,Intel Core i5 8250U ,Nvidia GeForce 150MX,1.6,12,1024,,HDD,Windows 10,638,
45,Apple,Ultrabook,13.3,2560,1600,Intel Core i5  ,Intel Iris Graphics 540,2,8,256,,SSD,macOS,907,
46,Lenovo,Notebook,15.6,1366,768,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,128,,SSD,No OS,235,
47,Asus,Gaming,17.3,1920,1080,AMD Ryzen 1700  ,AMD Radeon RX 580,3,8,256,1024,SSD,Windows 10,830,
48,Dell,Notebook,15.6,1920,1080,Intel Core i5 7200U ,AMD Radeon R5 M430,2.5,4,256,,SSD,Windows 10,408,
49,Asus,Notebook,17.3,1366,768,Intel Pentium Quad Core N4200,Nvidia GeForce 920MX,1.1,4,1024,,HDD,Windows 10,297,
50,Lenovo,2 in 1 Convertible,10.1,1920,1200,Intel Atom x5-Z8550  ,Intel HD Graphics 400,1.44,4,64,,Flash,Android,203,
51,Acer,Notebook,15.6,1920,1080,Intel Core i7 8550U ,Nvidia GeForce MX150,1.8,8,256,,SSD,Windows 10,537,
52,HP,Notebook,15.6,1920,1080,AMD A6-Series 9220  ,AMD Radeon R4 Graphics,2.5,4,256,,SSD,Windows 10,254,
53,HP,Notebook,13.3,1920,1080,Intel Core i7 8550U ,Intel UHD Graphics 620,1.8,8,512,,SSD,Windows 10,705,
54,Acer,Notebook,15.6,1366,768,Intel Core i3 7100U ,Intel HD Graphics 620,2.4,4,1024,,HDD,Windows 10,245,
55,Dell,Notebook,15.6,1920,1080,Intel Core i7 8550U ,AMD Radeon 520,1.8,8,256,,SSD,Windows 10,490,
56,HP,Notebook,15.6,1920,1080,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,128,,SSD,Windows 10,280,
57,Asus,Notebook,15.6,1366,768,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,4,256,,SSD,Windows 10,374,
58,MSI,Gaming,17.3,1920,1080,Intel Core i7 7700HQ ,Nvidia GeForce GTX 1070,2.8,16,256,2048,SSD,Windows 10,1565,
59,Asus,Notebook,15.6,1920,1080,Intel Core i3 6006U ,Intel HD Graphics 520,2,4,256,,SSD,Linux,265,
60,Dell,Notebook,17.3,1920,1080,Intel Core i7 8550U ,AMD Radeon 530,1.8,16,256,2048,SSD,Windows 10,830,
61,Dell,Ultrabook,14,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,561,
62,Lenovo,Notebook,14,1920,1080,Intel Core i3 7130U ,Intel HD Graphics 620,2.7,8,256,,SSD,No OS,382,
63,Asus,Notebook,14,1920,1080,Intel Core i5 8250U ,Intel UHD Graphics 620,1.6,8,256,,SSD,Windows 10,601,
64,HP,Notebook,15.6,1920,1080,Intel Core i5 7200U ,Intel HD Graphics 620,2.5,8,256,,SSD,Windows 10,441,
